Player,Minutes,Actual Impact,Predicted Impact
Adu Ares,261.0,0.0038314176245210726,0.012442550578914304
Jesús Areso,2664.0,0.01614114114114114,0.01163769798197736
Matias Arezo,368.99999999999994,0.005420054200542006,0.012406377428490172
Iñigo Arguibide,18.0,0.0,0.012523940167368602
Yoël Armougom,234.0,0.021367521367521368,0.012451593866520337
José Arnaiz,927.0000000000001,0.018338727076591153,0.012219482817965487
Hákon Arnar Haraldsson,1287.0,0.01320901320901321,0.012098905649885047
Marko Arnautović,801.0,0.0299625468164794,0.012261684826793642
Maximilian Arnold,2502.0,0.02038369304556355,0.011691957707613557
Sergio Arribas,2043.0,0.02692119432207538,0.01184569359691612
Kepa Arrizabalaga,1197.0,0.0,0.012129049941905157
Arthur,180.0,0.03888888888888889,0.012469680441732403
Takuma Asano,1989.0000000000002,0.014077425842131723,0.011863780172128186
Marco Asensio,1116.0,0.03763440860215054,0.012156179804723256
Kristjan Asllani,782.9999999999999,0.014048531289910602,0.012267713685197664
Joel Asoro,846.0,0.013002364066193853,0.012246612680783586
Iago Aspas,2709.0,0.04023624953857512,0.011622625835967303
Lorenz Assignon,1233.0,0.012976480129764802,0.012116992225097113
Lorenz Assignon,1007.9999999999999,0.021825396825396828,0.012192352955147388
Youcef Atal,360.0,0.013888888888888888,0.012409391857692183
Valentin Atangana Edoa,558.0,0.0035842293906810036,0.01234307441524794
Arthur Atta,927.0000000000001,0.016181229773462782,0.012219482817965487
Noah Atubolu,3060.0,0.0,0.011505063097088873
Pierre-Emerick Aubameyang,2619.0,0.019854906452844597,0.011652770127987414
Emil Audero,333.0,0.0,0.012418435145298216
Tommaso Augello,2421.0,0.01197852127220157,0.011719087570431656
Carlos Augusto,1728.0,0.01273148148148148,0.011951198618986506
Yann Aurel Bisseck,900.0,0.0033333333333333335,0.01222852610557152
Serge Aurier,837.0000000000001,0.007168458781362006,0.012249627109985598
Ezequiel Ávila,864.0,0.028935185185185185,0.012240583822379565
Ezequiel Ávila,297.0,0.010101010101010102,0.01243049286210626
Taiwo Awoniyi,1044.0,0.018199233716475097,0.012180295238339344
André Ayew,1107.0,0.011743450767841012,0.012159194233925266
Jordan Ayew,2547.0,0.014134275618374558,0.011676885561603501
Neil El Aynaoui,1565.9999999999998,0.012132822477650065,0.012005458344622704
Sardar Azmoun,585.0,0.018803418803418803,0.012334031127641906
César Azpilicueta,1422.0,0.011954992967651195,0.01205368921185488
Paulo Azzi,954.0,0.009433962264150943,0.012210439530359454
Oussama El Azzouzi,549.0,0.018214936247723135,0.01234608884444995
Iddrisu Baba,1431.0,0.0041928721174004195,0.01205067478265287
Srđan Babić,90.0,0.0,0.012499824733752513
